City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-76.7561,171.7199,267.44,75,100,5.54,AQ,1700705673
1,amnat charoen,15.8217,104.7667,299.22,68,100,5.52,TH,1700705675
2,mehran,33.27,46.3847,280.06,31,100,0.53,IR,1700705682
3,bosobolo,4.1392,19.9461,294.83,99,100,1.08,CD,1700705694
4,seka,18.0471,103.8551,297.42,65,83,2.24,TH,1700705695
5,ierapetra,33.8486,26.4797,294.67,67,5,7.26,GR,1700705719
6,chelno-vershiny,54.1313,51.015,263.52,93,100,6.94,RU,1700705728
7,berezovyy,52.2083,134.9699,257.79,60,100,1.47,RU,1700705729
8,jamestown,-16.3061,-5.9424,294.15,94,73,5.64,SH,1700705736
9,saguenay,48.5284,-70.2332,270.3,99,100,0.75,CA,1700705738
10,mobaye,3.7891,21.3068,293.92,99,100,0.63,CF,1700705745
11,valpovo,45.6527,18.4413,277.28,82,69,1.79,HR,1700705749
12,payshamba shahri,40.4647,66.1937,278.07,68,9,5.01,UZ,1700705766
13,eu,49.9243,1.3965,282.72,90,97,4.15,FR,1700705777
14,gniewkowo,52.8989,18.471,273.25,100,100,7.27,PL,1700705781
15,thongwa,15.7374,96.5553,300.73,75,49,3.2,MM,1700705783
16,gurupa,-1.4056,-51.8443,299.53,73,54,2.14,BR,1700705787
17,nangka,10.5873,123.9442,300.72,86,25,2.16,PH,1700705798
18,mareeba,-16.9282,141.9196,306.73,47,34,3.95,AU,1700705803
19,krasnozerskoye,54.564,79.3672,268.34,71,100,6.25,RU,1700705807
20,thompson,61.5064,-90.9805,261.36,97,100,18.12,CA,1700705810
21,turar ryskulov,42.5008,70.8658,275.95,68,100,2.46,KZ,1700705817
22,aracoiaba,-4.4262,-38.8893,297.77,80,0,2.97,BR,1700705819
23,okha,54.2266,144.7602,267.97,62,100,9.71,RU,1700705821
24,zhangjiakou,41.0401,114.6703,257.0,62,72,11.19,CN,1700705822
25,newman,-23.9709,118.6881,306.46,12,33,7.24,AU,1700705826
26,nova sintra,14.7402,-25.2154,299.95,73,100,10.9,CV,1700705833
27,ceeldheer,4.3847,47.345,297.16,85,92,5.54,SO,1700705838
28,moree,-29.3379,146.9287,301.49,52,100,4.75,AU,1700705842
29,broken hill,-28.0349,142.6671,305.94,31,86,5.31,AU,1700705856
30,yellowknife,71.6608,-120.095,259.55,93,77,3.91,CA,1700705858
31,hanko,59.8753,23.056,278.15,89,100,11.62,FI,1700705879
32,selendi,38.8278,28.9258,282.48,90,84,1.38,TR,1700705882
33,timmins,49.5604,-81.1544,268.25,96,100,1.57,CA,1700705892
34,falkenberg,57.1301,12.6215,282.01,95,100,8.38,SE,1700705897
35,astara,38.5743,48.6706,269.87,34,1,2.98,AZ,1700705933
36,lamar,38.5137,-102.3689,284.79,26,1,3.75,US,1700705934
37,berdigestyakh,61.844,124.4672,247.88,94,100,3.87,RU,1700705936
38,inhambane,-23.2813,35.8318,299.7,82,5,4.28,MZ,1700705940
39,meridian,32.7987,-88.4331,280.36,77,56,1.83,US,1700705943
40,danja,11.4478,7.5445,291.88,39,2,1.84,NG,1700705947
41,san borja,-14.8602,-67.1142,299.96,63,46,0.4,BO,1700705949
42,gereida,10.4927,24.4039,297.33,33,84,1.99,SD,1700705951
43,dauphin,51.8578,-98.8768,262.81,60,10,3.96,CA,1700705954
44,chongwe,-14.9412,29.3328,299.56,55,74,0.79,ZM,1700705958
45,nyrob,61.7161,57.1783,264.3,94,100,3.04,RU,1700705960
46,djamaa,34.0292,6.3199,287.13,54,57,8.23,DZ,1700705961
47,puerto princesa,8.9773,119.4905,301.61,78,8,5.27,PH,1700705965
